NAME,START,END,LON,LAT,DESC,CONTINENT
Just for Laughs Comedy Festival Montreal - Canada,7/10/2025,7/28/2025,45.5017,-73.5673,Just for Laughs is the world's largest international comedy festival held each July in Montreal Quebec. The festival features stand-up performances comedic television shows and industry conferences.,North America
Florida Keys Underwater Music Festival - USA,7/11/2025,7/11/2025,24.5551,-81.78,The Underwater Music Festival is an annual event at Looe Key Reef in the Florida Keys. Divers and snorkelers listen to underwater music broadcast through special speakers while encountering mermaid impersonators and enjoying an underwater art exhibit.,North America
Celebration of Light Vancouver - Canada,7/19/2025,8/2/2025,49.2827,-123.1207,The Honda Celebration of Light is an annual musical fireworks competition held in Vancouver. Teams from different countries compete by designing breathtaking pyrotechnic displays choreographed to music.,North America
Comic-Con International - USA,7/24/2025,7/27/2025,32.7068,-117.1572,Comic-Con is a multi-genre entertainment and comic convention held annually in San Diego California. The event celebrates comic books science fiction fantasy film television and other elements of popular culture.,North America
Gilroy Garlic Festival CA - USA,7/25/2025,7/27/2025,37.0058,-121.5683,"The Gilroy Garlic Festival is one of the largest food festivals in the United States featuring garlic-inspired cuisine cooking competitions live entertainment arts and crafts vendors and the famous ""Pyro Chefs"" who create flaming dishes.",North America
Shambhala Music Festival Salmo - Canada,7/25/2025,7/28/2025,49.1807,-117.2776,Shambhala Music Festival is an annual electronic music festival held at the Salmo River Ranch in British Columbia Canada. One of North America's longest-running electronic music gatherings it features multiple uniquely designed stages and showcases a variety of electronic music genres.,North America
Lollapalooza Chicago - USA,7/31/2025,8/3/2025,41.8781,-87.6298,Lollapalooza is an annual four-day music festival held in Grant Park in Chicago featuring popular alternative rock heavy metal punk rock hip hop and electronic music acts as well as dance and comedy performances and craft booths.,North America
Burning Man Festival - USA,8/24/2025,9/1/2025,40.7858468,-119.2445586,"Burning Man is a week-long large-scale desert event focused on ""community art self-expression and self-reliance""",North America
Toronto Film Festival - Canada,9/4/2025,9/14/2025,43.6532,-79.3832,The Toronto International Film Festival is one of the largest publicly attended film festivals in the world attracting over 480000 people annually. Founded in 1976 the festival screens hundreds of films from around the world and is considered a launching pad for international cinema.,North America
New York Fashion Week - USA,9/10/2025,9/17/2025,40.7831,-73.9712,"New York Fashion Week is a semi-annual series of events when international fashion collections are shown to buyers the press and the general public. It is one of four major fashion weeks in the world collectively known as the ""Big 4"" along with those in Paris London and Milan.",North America
Austin City Limits Music Festival - USA,10/3/2025,10/12/2025,30.2672,-97.7431,Austin City Limits Music Festival is an annual music festival held in Zilker Park in Austin Texas. The festival brings together more than 130 bands on multiple stages showcasing a diverse array of genres including rock indie country folk electronic and hip hop.,North America
Albuquerque International Balloon Fiesta - USA,10/4/2025,10/12/2025,35.1968,-106.5968,The Albuquerque International Balloon Fiesta is a yearly hot air balloon festival that takes place in Albuquerque New Mexico during early October. The balloon fiesta is a nine-day event and has over 500 hot air balloons each year.,North America
Dia de los Muertos - Mexico,10/31/2025,11/2/2025,19.3906591,-99.3087609,The multi-day holiday involves family and friends gathering to pay respects and remember friends and family members who have died. These celebrations can take a humorous tone as celebrants share anecdotes about the departed.,North America
SXSW - Austin TX,3/12/2026,3/18/2026,30.2643039,-97.7418784,An annual conglomeration of parallel film interactive media and music festivals and conferences organized jointly that take place in mid-March in Austin Texas.,North America
Throwing of the Grape Festival - Australia,1/26/2025,1/26/2025,-34.4706,138.9531,The Barossa Valley Grape Throwing Championship takes place during Australia Day in South Australia's premier wine region. Participants compete in various grape-themed challenges including grape throwing for distance grape treading and a grape catching competition.,Oceania
Melbourne International Comedy Festival - Australia,3/25/2025,4/19/2025,-37.8136,144.9631,The Melbourne International Comedy Festival is the third-largest international comedy festival in the world and the largest cultural event in Australia. The festival features stand-up comedy cabaret theatre street performance and visual arts.,Oceania
La Fiesta De La Candelaria - Puno - Peru,2/2/2025,2/17/2025,-15.8402,-70.0219,La Candelaria is one of the largest and most important religious and cultural festivals in Peru held in Puno. It honors the patron saint of the city and features over 200 dance groups in colorful costumes performing traditional Andean dances.,South America
Carnaval De Barranquilla - Colombia,2/15/2025,2/18/2025,10.9685,-74.7813,The Barranquilla Carnival is one of the largest carnivals in the world and a UNESCO Masterpiece of the Oral and Intangible Heritage of Humanity. The four-day celebration features folk dances music colorful costumes and traditional characters representing Colombia's diverse cultural heritage.,South America
Carnival in Rio De Janeiro - Brazil,2/28/2025,3/5/2025,-22.9140454,-43.6111308,The Carnival in Rio de Janeiro is a festival held every year before Lent; it is considered the biggest celebration of Carnival in the world,South America
Lunar Eclipse Music Festival - Finland,7/15/2025,7/18/2025,67.9222135,26.5041477,"A unique music festival held during a rare summer lunar eclipse in Lapland, featuring performances on floating stages on Lake Inari, interactive light installations, and midnight concerts under the Arctic sky",Europe
Moonlight Mirage Music Festival - Atlantis Desert,8/15/2025,8/17/2025,27.8456921,-15.4314578,"A fictional three-day music festival featuring holographic performances, anti-gravity dance floors, and sound-responsive sand sculptures in the mythical Atlantis Desert oasis",Africa
